OBJECTID,Cartegraph_ID,Street_Name,From_Street,To_Street,Street_Type,Location_Description,Ownership,Speed_Limit,Surface_Type,Surface_Width,Measured_ADT,PCI,Number_of_Lanes,Install_Date,Subdivision,Council_District,Map_Grid,CompKey,Mile_Length,Foot_Length,created_date,FISCAL_YR,LANE_MI,last_edited_date,SHAPESTLength
331,2133-002,DOPPLER DR,DOPPLER CT,N CUL-DE-SAC,Local,2133-002 DOPPLER DR From DOPPLER CT To N CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,36,0,68,2,1998/12/31 05:00:00+00,PINE MEADOWS,District 5,M10,94721,0.10810281,570.78,2024/08/21 21:27:27+00,2025,0.32,2024/09/09 18:16:58+00,217.248245506622
332,0378-006,DWYER RD,BUNSEN DR,DOPPLER DR,Local,0378-006 DWYER RD From BUNSEN DR To DOPPLER DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,29,0,79,2,1998/09/02 04:00:00+00,PINE MEADOWS,District 5,M10,94782,0.04779147,252.34,2024/08/21 21:27:27+00,2025,0.12,2024/09/09 18:16:58+00,96.225064292522
333,1437-001,BUNSEN DR,DWYER RD,DAIMLER DR,Local,1437-001 BUNSEN DR From DWYER RD To DAIMLER DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,31,0,69,2,1998/12/31 05:00:00+00,PINE MEADOWS,District 5,M10,94975,0.0773139,408.22,2024/08/21 21:27:27+00,2025,0.2,2024/09/09 18:16:58+00,155.33226998293
334,0378-004,DWYER RD,GALVANI DR (NB),POINCARE BEND,Local,0378-004 DWYER RD From GALVANI DR (NB) To POINCARE BEND,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,29,0,74,2,1998/09/02 04:00:00+00,PINE MEADOWS,District 5,M10,94780,0.08870411,468.36,2024/08/21 21:27:27+00,2025,0.21,2024/09/09 18:16:58+00,178.484296097164
335,0356-001,DAIMLER DR,BUNSEN DR,BUNSEN DR,Local,0356-001 DAIMLER DR From BUNSEN DR To BUNSEN DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,34,0,79,2,1998/12/31 05:00:00+00,PINE MEADOWS,District 5,M10,94715,0.31137202,1644.04,2024/08/21 21:27:27+00,2025,0.88,2024/09/09 18:16:58+00,626.574211988116
336,1437-002,BUNSEN DR,DAIMLER DR,NORTON CT,Local,1437-002 BUNSEN DR From DAIMLER DR To NORTON CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,29,0,79,2,1998/12/31 05:00:00+00,PINE MEADOWS,District 5,M10,94976,0.04860392,256.63,2024/08/21 21:27:27+00,2025,0.12,2024/09/09 18:16:58+00,97.6688408568304
337,0408-005,GALVANI DR (NB),GALVANI CT,DWYER RD,Local,0408-005 GALVANI DR (NB) From GALVANI CT To DWYER RD,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,28,0,87,2,1999/04/28 04:00:00+00,PINE MEADOWS,District 5,M10,16276,0.0556509,293.84,2024/08/21 21:27:27+00,2025,0.13,2024/09/09 18:16:58+00,111.915754068274
338,3929-001,NORTON CT,BUNSEN DR,N CUL-DE-SAC,Local,3929-001 NORTON CT From BUNSEN DR To N CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,38,0,75,2,1999/01/06 05:00:00+00,PINE MEADOWS,District 5,M10,94578,0.09047534,477.71,2024/08/21 21:27:27+00,2025,0.29,2024/09/09 18:16:58+00,182.152035293276
339,1437-003,BUNSEN DR,NORTON CT,DAIMLER DR,Local,1437-003 BUNSEN DR From NORTON CT To DAIMLER DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,28,0,64,2,1998/12/31 05:00:00+00,PINE MEADOWS,District 5,M10,94977,0.0887273,468.48,2024/08/21 21:27:27+00,2025,0.21,2024/09/09 18:16:58+00,178.328851450039
340,0408-006,GALVANI DR (NB),DWYER RD,LEVY LO,Local,0408-006 GALVANI DR (NB) From DWYER RD To LEVY LO,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,31,0,77,2,1999/04/28 04:00:00+00,PINE MEADOWS,District 5,M10,16275,0.10158634,536.38,2024/08/21 21:27:27+00,2025,0.26,2024/09/09 18:16:58+00,204.51936134863
341,3374-001,LEVY LO,GALVANI DR (NB),LEVY LO,Local,3374-001 LEVY LO From GALVANI DR (NB) To LEVY LO,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,34,0,70,2,1999/06/06 04:00:00+00,PINE MEADOWS,District 5,M10,26282,0.0306112,161.63,2024/08/21 21:27:27+00,2025,0.09,2024/09/09 18:16:58+00,61.4631658937842
342,3373-001,LEVY CT,LEVY LO,N CUL-DE-SAC,Local,3373-001 LEVY CT From LEVY LO To N CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,39,0,84,2,1998/12/31 05:00:00+00,PINE MEADOWS,District 5,M10,21617,0.05499756,290.39,2024/08/21 21:27:27+00,2025,0.18,2024/09/09 18:16:58+00,110.831068785932
343,1569-001,CASUAL CT,GALVANI DR (NB),FLURRY CT,Local,1569-001 CASUAL CT From GALVANI DR (NB) To FLURRY CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,25,0,85,2,1998/08/27 04:00:00+00,PINE MEADOWS,District 5,M10,19062,0.05590852,295.2,2024/08/21 21:27:27+00,2025,0.12,2024/09/09 18:16:58+00,112.210961701342
344,2465-001,FLURRY CT,CASUAL CT,N CUL-DE-SAC,Local,2465-001 FLURRY CT From CASUAL CT To N CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,43,0,81,2,1998/12/31 05:00:00+00,PINE MEADOWS,District 5,M10,20269,0.03919297,206.94,2024/08/21 21:27:27+00,2025,0.14,2024/09/09 18:16:58+00,79.0013540378265
345,1569-002,CASUAL CT,FLURRY CT,FANCY CT,Local,1569-002 CASUAL CT From FLURRY CT To FANCY CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,29,0,78,2,1998/08/27 04:00:00+00,PINE MEADOWS,District 5,M10,19063,0.07660221,404.46,2024/08/21 21:27:27+00,2025,0.19,2024/09/09 18:16:58+00,153.74564928989
346,2381-001,FANCY CT,CASUAL CT,N CUL-DE-SAC,Local,2381-001 FANCY CT From CASUAL CT To N CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,41,0,87,2,1998/12/31 05:00:00+00,PINE MEADOWS,District 5,M10,20158,0.0396228,209.21,2024/08/21 21:27:27+00,2025,0.14,2024/09/09 18:16:58+00,79.8663873119349
347,1569-003,CASUAL CT,FANCY CT,ORCHID CT,Local,1569-003 CASUAL CT From FANCY CT To ORCHID CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,28,0,81,2,1998/08/27 04:00:00+00,PINE MEADOWS,District 5,M10,19064,0.07348544,388,2024/08/21 21:27:27+00,2025,0.17,2024/09/09 18:16:58+00,147.489283822283
348,4047-001,ORCHID CT,CASUAL CT,N CUL-DE-SAC,Local,4047-001 ORCHID CT From CASUAL CT To N CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,44,0,81,2,1998/08/27 04:00:00+00,PINE MEADOWS,District 5,M10,94205,0.03155701,166.62,2024/08/21 21:27:27+00,2025,0.12,2024/09/09 18:16:58+00,63.6084752023659
349,1569-004,CASUAL CT,ORCHID CT,E CUL-DE-SAC,Local,1569-004 CASUAL CT From ORCHID CT To E CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,40,0,82,2,1998/08/27 04:00:00+00,PINE MEADOWS,District 5,M10,19065,0.08550668,451.48,2024/08/21 21:27:27+00,2025,0.29,2024/09/09 18:16:58+00,171.865262040322
350,1682-001,CHICKADEE LA,EAGLEWOOD DR,CHICKADEE CT,Local,1682-001 CHICKADEE LA From EAGLEWOOD DR To CHICKADEE CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,31,0,62,2,1998/12/31 05:00:00+00,REDWING,District 5,L10,95601,0.12457019,657.73,2024/08/21 21:27:27+00,2025,0.32,2024/09/09 18:16:58+00,250.370820853481
351,1682-002,CHICKADEE LA,CHICKADEE CT,EAGLEWOOD DR,Local,1682-002 CHICKADEE LA From CHICKADEE CT To EAGLEWOOD DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,33,0,66,2,1998/12/31 05:00:00+00,REDWING,District 5,L10,95602,0.07189963,379.63,2024/08/21 21:27:27+00,2025,0.2,2024/09/09 18:16:58+00,144.483931980799
352,5041-003,STORM LAKE DR,FOREST FERN CI,E CUL-DE-SAC,Local,5041-003 STORM LAKE DR From FOREST FERN CI To E CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,50,0,88,2,1998/12/31 05:00:00+00,PINE HURST ESTATES,District 5,L10,96970,0.03785187,199.86,2024/08/21 21:27:27+00,2025,0.16,2024/09/09 18:16:58+00,76.1113763008527
353,5041-002,STORM LAKE DR,FOREST FERN CI,FOREST FERN CI,Local,5041-002 STORM LAKE DR From FOREST FERN CI To FOREST FERN CI,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,0,85,2,1998/12/31 05:00:00+00,PINE HURST ESTATES,District 5,L10,96969,0.05580562,294.65,2024/08/21 21:27:27+00,2025,0.14,2024/09/09 18:16:58+00,112.221589090513
354,2470-001,FOREST FERN CI,STORM LAKE DR,STORM LAKE DR,Local,2470-001 FOREST FERN CI From STORM LAKE DR To STORM LAKE DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,0,88,2,1998/12/31 05:00:00+00,PINE HURST ESTATES,District 5,L10,96898,0.19830561,1047.05,2024/08/21 21:27:27+00,2025,0.5,2024/09/09 18:16:58+00,398.856614965319
355,0378-002,DWYER RD,WASSERMAN DR,GALVANI DR (NB),Local,0378-002 DWYER RD From WASSERMAN DR To GALVANI DR (NB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,25,0,73,2,1998/09/02 04:00:00+00,PINE MEADOWS,District 5,L10,94778,0.04730968,249.8,2024/08/21 21:27:27+00,2025,0.1,2024/09/09 18:16:58+00,95.2266999214506
356,0408-001,GALVANI DR (NB),DWYER RD,GAMPOINT CT,Local,0408-001 GALVANI DR (NB) From DWYER RD To GAMPOINT CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,0,84,2,1999/04/28 04:00:00+00,PINE MEADOWS,District 5,L10,16280,0.07107063,375.25,2024/08/21 21:27:27+00,2025,0.18,2024/09/09 18:16:58+00,142.787000912477
357,0408-002,GALVANI DR (NB),GAMPOINT CT,SOLWAY CT,Local,0408-002 GALVANI DR (NB) From GAMPOINT CT To SOLWAY CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,0,86,2,1999/04/28 04:00:00+00,PINE MEADOWS,District 5,L10,16279,0.06136344,324,2024/08/21 21:27:27+00,2025,0.15,2024/09/09 18:16:58+00,123.153139790543
358,4906-001,SOLWAY CT,GALVANI DR (NB),N CUL-DE-SAC,Local,4906-001 SOLWAY CT From GALVANI DR (NB) To N CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,74,0,87,2,1998/12/31 05:00:00+00,PINE MEADOWS,District 5,L10,96668,0.02104606,111.12,2024/08/21 21:27:27+00,2025,0.13,2024/09/09 18:16:58+00,42.4208932820845
359,2546-001,GAMPOINT CT,GALVANI DR (NB),N CUL-DE-SAC,Local,2546-001 GAMPOINT CT From GALVANI DR (NB) To N CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,35,0,89,2,1998/12/31 05:00:00+00,PINE MEADOWS,District 5,L10,96928,0.10820726,571.33,2024/08/21 21:27:27+00,2025,0.32,2024/09/09 18:16:58+00,217.897278015193
360,0408-003,GALVANI DR (NB),SOLWAY CT,AVANT CT,Local,0408-003 GALVANI DR (NB) From SOLWAY CT To AVANT CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,28,0,88,2,1999/04/28 04:00:00+00,PINE MEADOWS,District 5,L10,16278,0.03813865,201.37,2024/08/21 21:27:27+00,2025,0.09,2024/09/09 18:16:58+00,76.5471125356355
361,2460-001,FLICKER WY,W DEAD END,CHICKADEE LA,Local,2460-001 FLICKER WY From W DEAD END To CHICKADEE LA,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,29,0,70,2,1998/09/04 04:00:00+00,REDWING,District 5,L09,96899,0.01852145,97.79,2024/08/21 21:27:27+00,2025,0.04,2024/09/09 18:16:58+00,37.2021775075062
362,1682-004,CHICKADEE LA,FLICKER WY,N CUL-DE-SAC,Local,1682-004 CHICKADEE LA From FLICKER WY To N CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,39,0,69,2,1998/12/31 05:00:00+00,REDWING,District 5,L09,95604,0.04839794,255.54,2024/08/21 21:27:27+00,2025,0.16,2024/09/09 18:16:58+00,97.5329817771404
363,2460-002,FLICKER WY,CHICKADEE LA,GOLDFINCH LA,Local,2460-002 FLICKER WY From CHICKADEE LA To GOLDFINCH LA,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,21,0,74,2,1998/09/04 04:00:00+00,REDWING,District 5,L09,96901,0.04718035,249.11,2024/08/21 21:27:27+00,2025,0.08,2024/09/09 18:16:58+00,94.7639779125486
364,2460-003,FLICKER WY,GOLDFINCH LA,E DEAD END,Local,2460-003 FLICKER WY From GOLDFINCH LA To E DEAD END,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,42,0,68,2,1998/09/04 04:00:00+00,REDWING,District 5,L09,96903,0.01259018,66.48,2024/08/21 21:27:27+00,2025,0.04,2024/09/09 18:16:58+00,25.2908267025813
365,0330-001,CLUB HOUSE RD S,W DEAD END,FERN RIDGE RD,Local,0330-001 CLUB HOUSE RD S From W DEAD END To FERN RIDGE RD,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,0,74,2,1899/12/30 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 10,H09,95773,0.02169974,114.57,2024/08/21 21:27:27+00,2025,0.05,2024/09/09 18:16:58+00,43.6369990747531
366,0330-001A,CLUB HOUSE RD S,FERN RIDGE RD,DIXIE DR,Local,0330-001A CLUB HOUSE RD S From FERN RIDGE RD To DIXIE DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,29,0,44,2,1899/12/30 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 10,H09,327673,0.26120049,1379.14,2024/08/21 21:27:27+00,2025,0.63,2024/09/09 18:16:58+00,526.242996795942
367,5704-001,WOODBURNE DR,RIVERBEND RD (SB),WOODBURNE CT,Local,5704-001 WOODBURNE DR From RIVERBEND RD (SB) To WOODBURNE CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,33,0,34,2,1998/11/04 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 10,H09,24593,0.03562924,188.12,2024/08/21 21:27:27+00,2025,0.1,2024/09/09 18:16:58+00,71.5753096856065
368,2084-001,DIANA LEE DR,WOODBURNE DR,HOLLAND RD (NB),Local,2084-001 DIANA LEE DR From WOODBURNE DR To HOLLAND RD (NB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,35,0,46,2,1998/11/04 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 10,G09,19786,0.10158272,536.36,2024/08/21 21:27:27+00,2025,0.3,2024/09/09 18:16:58+00,204.293136733737
369,0037-010,FOXWOOD DR,INDEPENDENCE BL (NB),MAPLEHURST RD,Collector,0037-010 FOXWOOD DR From INDEPENDENCE BL (NB) To MAPLEHURST RD,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,43,0,77,2,1998/08/10 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 10,F09,91105,0.05226798,275.97,2024/08/21 21:27:27+00,2025,0.19,2024/09/09 18:16:58+00,105.207084991515
370,0101-001,PLAZA TR S (NB),PRINCESS ANNE RD (NB),BRENNEMAN TL,Arterial Major,0101-001 PLAZA TR S (NB) From PRINCESS ANNE RD (NB) To BRENNEMAN TL,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,40,23340,66,2,1999/04/17 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 1,E09,88588,0.19174265,1012.4,2024/08/21 21:27:27+00,2025,0.64,2024/09/09 18:16:58+00,385.714332129544
371,0271-001,BOWLING GREEN DR,LYNNHAVEN RD S (SB),CARRIAGE HILL RD,Local,0271-001 BOWLING GREEN DR From LYNNHAVEN RD S (SB) To CARRIAGE HILL RD,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,27,0,58,2,1998/12/31 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 3,H08,31739,0.0482936,254.99,2024/08/21 21:27:27+00,2025,0.11,2024/09/09 18:16:58+00,96.981884833487
372,0016-001,BOW CREEK BL,LYNNHAVEN RD S (SB),CARRIAGE HILL RD,Collector,0016-001 BOW CREEK BL From LYNNHAVEN RD S (SB) To CARRIAGE HILL RD,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,37,5066,69,2,1998/08/17 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 3,H08,89680,0.05191462,274.11,2024/08/21 21:27:27+00,2025,0.16,2024/09/09 18:16:58+00,104.246130817647
373,1913-001,CREECH LA,CLUB HOUSE RD S,GREEN LAKES DR,Local,1913-001 CREECH LA From CLUB HOUSE RD S To GREEN LAKES DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,28,0,57,2,1999/06/25 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 10,H08,25795,0.08325568,439.59,2024/08/21 21:27:27+00,2025,0.19,2024/09/09 18:16:58+00,167.188462249783
374,0330-003,CLUB HOUSE RD S,CREECH LA,LAKECREST RD,Local,0330-003 CLUB HOUSE RD S From CREECH LA To LAKECREST RD,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,28,0,35,2,1998/11/03 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 10,H08,95775,0.11132732,587.81,2024/08/21 21:27:27+00,2025,0.26,2024/09/09 18:16:58+00,224.366217580021
375,0305-009,CARRIAGE HILL RD,GENTRY RD,BOWLING GREEN DR,Local,0305-009 CARRIAGE HILL RD From GENTRY RD To BOWLING GREEN DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,24,0,70,2,1998/11/02 05:00:00+00,PRINCESS ANNE PLAZA,District 3,H08,15778,0.07833632,413.62,2024/08/21 21:27:27+00,2025,0.16,2024/09/09 18:16:58+00,157.947397139079
376,2744-001,HALEY DR,WOODBURNE DR,HOLLYGREEN DR,Local,2744-001 HALEY DR From WOODBURNE DR To HOLLYGREEN DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,29,0,71,2,1999/05/24 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 10,G08,20685,0.06440631,340.07,2024/08/21 21:27:27+00,2025,0.16,2024/09/09 18:16:58+00,129.594160907851
377,2744-002,HALEY DR,HOLLYGREEN DR,HOLLYGREEN CI,Local,2744-002 HALEY DR From HOLLYGREEN DR To HOLLYGREEN CI,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,31,0,58,2,1999/05/24 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 10,G08,98194,0.02343604,123.74,2024/08/21 21:27:27+00,2025,0.06,2024/09/09 18:16:58+00,47.1756282365966
378,5431-001,WALTHAM CI,CHANTRY DR,CHANTRY DR,Local,5431-001 WALTHAM CI From CHANTRY DR To CHANTRY DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,29,0,63,2,1998/11/04 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 10,G08,27087,0.15694248,828.66,2024/08/21 21:27:27+00,2025,0.38,2024/09/09 18:16:58+00,315.839729333263
379,2744-003,HALEY DR,HOLLYGREEN CI,CHANTRY DR,Local,2744-003 HALEY DR From HOLLYGREEN CI To CHANTRY DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,31,0,72,2,1999/05/24 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 10,G08,98195,0.03183435,168.09,2024/08/21 21:27:27+00,2025,0.08,2024/09/09 18:16:58+00,64.0578040623436
380,3455-001,LOPER LA (SB),PLAZA TR S(NB),GADWALL PL,Local,3455-001 LOPER LA (SB) From PLAZA TR S(NB) To GADWALL PL,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,38,0,64,2,1999/05/24 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 10,F08,,0.0371562,196.18,2024/08/21 21:27:27+00,2025,0.12,2024/09/09 18:16:58+00,74.7288846304015
381,0101-005,PLAZA TR S (NB),INDEPENDENCE BL (NB),LOPER LA (SB),Arterial Major,0101-005 PLAZA TR S (NB) From INDEPENDENCE BL (NB) To LOPER LA (SB),CITY MAINTAINED VDOT FUNDED,35,ASPHALT,30,11370,60,2,1998/10/19 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 10,F08,,0.14839927,783.55,2024/08/21 21:27:27+00,2025,0.37,2024/09/09 18:16:58+00,298.829208278084
382,0760-005,PLAZA TR S(SB),HOLLAND RD (SB),FOXWOOD DR,Arterial Major,0760-005 PLAZA TR S(SB) From HOLLAND RD (SB) To FOXWOOD DR,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,29,11370,67,4,1998/09/29 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 10,F08,88585,0.23476392,1239.55,2024/08/21 21:27:27+00,2025,0.57,2024/09/09 18:16:58+00,472.75274567407
383,0101-008,PLAZA TR S (NB),DOUBLES CT,HOLLAND RD (NB),Arterial Major,0101-008 PLAZA TR S (NB) From DOUBLES CT To HOLLAND RD (NB),CITY MAINTAINED VDOT FUNDED,35,ASPHALT,28,11370,77,2,1998/10/19 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 10,F08,88594,0.20277733,1070.66,2024/08/21 21:27:27+00,2025,0.47,2024/09/09 18:16:58+00,408.338465004693
384,0101-006,PLAZA TR S (NB),LOPER LA (SB),FOXWOOD DR,Arterial Major,0101-006 PLAZA TR S (NB) From LOPER LA (SB) To FOXWOOD DR,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,29,11370,68,2,1998/10/19 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 10,F08,,0.12492069,659.58,2024/08/21 21:27:27+00,2025,0.3,2024/09/09 18:16:58+00,251.554439409147
385,0037-017,FOXWOOD DR,GADWALL PL,PLAZA TR S (NB),Collector,0037-017 FOXWOOD DR From GADWALL PL To PLAZA TR S (NB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,34,0,77,2,1998/08/10 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 10,F08,91112,0.0628851,332.03,2024/08/21 21:27:27+00,2025,0.18,2024/09/09 18:16:58+00,126.445540739126
386,0101-007,PLAZA TR S (NB),FOXWOOD DR,DOUBLES CT,Arterial Major,0101-007 PLAZA TR S (NB) From FOXWOOD DR To DOUBLES CT,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,21,11370,76,2,1998/10/19 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 10,F08,88593,0.0316707,167.22,2024/08/21 21:27:27+00,2025,0.06,2024/09/09 18:16:58+00,63.7778383171616
387,0037-014,FOXWOOD DR,LOBLOLLY LA,TANOAK CT,Collector,0037-014 FOXWOOD DR From LOBLOLLY LA To TANOAK CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,33,0,66,2,1998/08/10 04:00:00+00,TIMBERLAKE,District 10,F08,91109,0.04457159,235.34,2024/08/21 21:27:27+00,2025,0.12,2024/09/09 18:16:58+00,89.8240482154565
388,3419-001,LOBLOLLY LA,FOXWOOD DR,TAMARACK CT,Local,3419-001 LOBLOLLY LA From FOXWOOD DR To TAMARACK CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,32,0,75,2,1998/12/31 05:00:00+00,TIMBERLAKE,District 10,F08,26300,0.07454407,393.59,2024/08/21 21:27:27+00,2025,0.2,2024/09/09 18:16:58+00,149.692440036734
389,0101-004,PLAZA TR S (NB),PRESTIGE WY,INDEPENDENCE BL (SB),Arterial Major,0101-004 PLAZA TR S (NB) From PRESTIGE WY To INDEPENDENCE BL (SB),CITY MAINTAINED VDOT FUNDED,45,ASPHALT,40,23340,65,2,1999/04/17 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 1,F09,88590,0.23455036,1238.43,2024/08/21 21:27:27+00,2025,0.78,2024/09/09 18:16:58+00,472.346824594827
390,5586-001,WIDGEON LA,SANDPIPER RD (NB),S DEAD END,Local,5586-001 WIDGEON LA From SANDPIPER RD (NB) To S DEAD END,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,22,0,73,2,1998/12/31 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,N12,27167,0.2848206,1503.85,2024/08/21 21:27:27+00,2025,0.52,2024/09/09 18:16:58+00,573.43833152323
391,0104-031,SANDPIPER RD (NB),SUNFISH LA,SANDFIDDLER RD,Collector,0104-031 SANDPIPER RD (NB) From SUNFISH LA To SANDFIDDLER RD,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,741,68,2,1998/08/26 04:00:00+00,SANDBRIDGE,District 2,N12,,0.30127299,1590.72,2024/08/21 21:27:27+00,2025,0.75,2024/09/09 18:16:58+00,606.736494895925
392,4776-001,SHAD LA,SANDPIPER RD (NB),W DEAD END,Local,4776-001 SHAD LA From SANDPIPER RD (NB) To W DEAD END,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,23,0,64,2,1998/12/31 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,N12,26847,0.07085075,374.09,2024/08/21 21:27:27+00,2025,0.14,2024/09/09 18:16:58+00,142.192357786748
393,5137-001,SWORDFISH LA,SANDFIDDLER RD,SANDPIPER RD (NB),Local,5137-001 SWORDFISH LA From SANDFIDDLER RD To SANDPIPER RD (NB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,16,0,31,2,1998/08/30 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,N12,26972,0.06576757,347.25,2024/08/21 21:27:27+00,2025,0.09,2024/09/09 18:16:58+00,131.990861054212
394,0104-020,SANDPIPER RD (NB),SHAD LA,SALMON LA,Collector,0104-020 SANDPIPER RD (NB) From SHAD LA To SALMON LA,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,741,48,2,1998/08/26 04:00:00+00,SANDBRIDGE,District 2,O12,,0.05450459,287.78,2024/08/21 21:27:27+00,2025,0.14,2024/09/09 18:16:58+00,109.774404610011
395,1682-003,CHICKADEE LA,EAGLEWOOD DR,FLICKER WY,Local,1682-003 CHICKADEE LA From EAGLEWOOD DR To FLICKER WY,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,0,62,2,1998/12/31 05:00:00+00,REDWING,District 5,L10,95603,0.1380795,729.06,2024/08/21 21:27:27+00,2025,0.35,2024/09/09 18:16:58+00,278.202582447211
396,2639-001,GOLDFINCH LA,EAGLEWOOD DR,FLICKER WY,Local,2639-001 GOLDFINCH LA From EAGLEWOOD DR To FLICKER WY,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,0,72,2,1998/12/31 05:00:00+00,REDWING,District 5,L10,97091,0.11846965,625.52,2024/08/21 21:27:27+00,2025,0.3,2024/09/09 18:16:58+00,238.686000826328
397,0269-003,BOLD RULER DR,CANNONADE TL,SWORD DANCER DR,Local,0269-003 BOLD RULER DR From CANNONADE TL To SWORD DANCER DR,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,51,0,68,2,1998/09/04 04:00:00+00,OCEAN LAKES,District 5,M10,15602,0.06047112,319.29,2024/08/21 21:27:27+00,2025,0.26,2024/09/09 18:16:58+00,121.473704170944
